t_s,hr_bpm
0,111
1,113
2,112
6,113
10,119
11,118
16,123
18,127
19,127
20,130
24,135
27,135
32,138
33,138
40,137
46,140
48,140
53,141
56,146
61,148
68,147
69,147
75,148
76,149
82,149
88,148
92,148
97,149
102,147
108,150
109,147
115,145
120,147
121,147
132,150
133,150
137,151
143,152
149,149
150,148
156,150
158,150
163,150
166,147
172,145
177,148
178,149
183,152
188,150
194,149
197,148
203,146
206,146
212,146
219,151
224,151
229,152
235,152
237,152
244,151
245,151
252,150
253,149
256,149
260,146
262,148
268,145
269,145
275,144
277,145
284,147
289,150
290,148
297,150
303,151
310,152
317,153
324,154
325,154
331,154
332,153
336,150
340,151
345,154
346,154
353,155
360,152
361,155
367,154
375,157
380,157
385,158
388,159
393,155
395,155
401,156
407,156
411,154
414,150
415,153
418,153
424,154
430,154
431,153
437,152
441,154
443,151
448,152
454,150
456,150
457,150
461,150
463,150
467,151
472,148
475,148
480,149
481,149
486,149
488,148
491,148
496,147
502,148
508,148
512,151
517,150
524,150
528,152
535,152
537,155
543,153
544,153
551,152
553,151
558,148
564,147
569,144
575,144
582,143
585,144
591,146
598,147
604,148
607,149
608,148
611,149
617,150
622,151
629,152
630,152
637,153
642,150
644,154
647,157
649,154
650,154
651,155
658,154
659,156
666,155
667,155
674,155
677,153
682,150
685,150
691,150
697,149
698,149
705,150
712,149
719,150
723,147
725,150
726,150
730,154
732,153
738,151
742,153
749,153
750,153
755,156
756,155
763,154
764,154
768,156
774,156
776,157
783,156
784,155
790,154
792,153
798,150
800,150
807,148
813,148
821,149
822,149
823,152
828,150
834,149
841,150
842,150
849,147
850,149
857,149
859,148
867,150
875,149
882,150
890,151
891,151
892,148
897,150
905,151
912,151
918,150
923,150
925,151
929,148
930,151
931,149
935,152
940,151
947,155
948,154
952,149
956,151
961,153
963,155
968,154
971,154
973,151
978,152
986,154
993,154
995,155
1002,156
1004,156
1010,157
1016,156
1017,156
1020,153
1023,156
1030,156
1031,157
1037,160
1039,162
1046,160
1047,162
1053,165
1055,164
1062,165
1065,163
1069,160
1071,160
1078,162
1080,161
1087,161
1088,161
1095,160
1096,160
1102,158
1109,157
1111,156
1117,157
1122,157
1126,154
1129,153
1133,150
1134,156
1136,157
1143,156
1145,156
1151,157
1154,155
1161,156
1162,155
1169,155
1170,155
1177,156
1184,157
1188,154
1190,152
1196,155
1197,155
1204,154
1211,154
1217,154
1221,152
1228,154
1229,155
1236,158
1242,157
1246,156
1253,157
1255,156
1262,155
1264,156
1271,157
1272,156
1279,156
1281,157
1288,157
1289,157
1296,155
1302,155
1306,159
1310,157
1314,160
1317,158
1318,161
1323,161
1330,161
1332,161
1338,161
1344,162
1350,159
1352,162
1355,159
1361,159
1367,157
1372,158
1377,157
1382,158
1388,157
1390,158
1397,157
1403,158
1405,161
1406,160
1410,157
1412,157
1415,154
1416,157
1421,157
1425,154
1432,157
1435,156
1436,156
1438,154
1445,155
1446,154
1450,155
1456,157
1458,154
1465,154
1466,154
1472,153
1476,154
1477,151
1484,153
1491,156
1498,156
1499,156
1506,158
1513,159
1520,158
1521,157
1527,157
1534,158
1539,157
1545,157
1552,158
1559,160
1562,161
1568,158
1571,160
1577,158
1580,161
1585,162
1592,161
1593,164
1594,161
1599,162
1606,162
1607,161
1614,159
1615,159
1621,161
1628,159
1635,158
1636,158
1642,156
1649,157
1655,157
1661,159
1668,161
1669,161
1671,158
1674,159
1681,158
1683,157
1691,156
1698,155
1705,154
1707,154
1713,154
1719,157
1720,158
1727,160
1729,160
1735,161
1742,160
1749,159
1752,157
1754,154
1760,160
1761,160
1768,159
1769,159
1775,162
1777,159
1782,156
